UNIQUE_ID,Test ID,Shot X,Shot Y,Step Pitch X,Step Pitch Y,Map Shift X,Map Shift Y,Coordinate X,Coordinate Y,Wafer X,Wafer Y,Radius
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-6,0,22583.68,32940,2814.357,0,7375.92,16470,-125311.803,16470,126389.5125
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,9,-6,0,22583.68,32940,2814.357,0,-11291.84,11789.6,-143979.563,11789.6,144461.4455
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,10,-6,0,22583.68,32940,2814.357,0,-5574.62,9882,-138262.343,9882,138615.0404
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,11,-6,0,22583.68,32940,2814.357,0,1662.5,9882,-131025.223,9882,131397.3477
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-6,0,22583.68,32940,2814.357,0,7308.42,9882,-125379.303,9882,125768.1341
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,13,-6,0,22583.68,32940,2814.357,0,-11291.84,5693.5,-143979.563,5693.5,144092.0904
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,14,-6,0,22583.68,32940,2814.357,0,11291.84,9215.3,-121395.883,9215.3,121745.1525
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,15,-6,0,22583.68,32940,2814.357,0,-5574.62,3294,-138262.343,3294,138301.576
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,16,-6,0,22583.68,32940,2814.357,0,1662.5,3294,-131025.223,3294,131066.6224
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,17,-6,0,22583.68,32940,2814.357,0,7308.42,3294,-125379.303,3294,125422.566
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,18,-6,0,22583.68,32940,2814.357,0,-11291.84,-2444.7,-143979.563,-2444.7,144000.3164
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,19,-6,0,22583.68,32940,2814.357,0,11291.84,2811.7,-121395.883,2811.7,121428.4401
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,20,-6,0,22583.68,32940,2814.357,0,-5574.62,-3294,-138262.343,-3294,138301.576
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,21,-6,0,22583.68,32940,2814.357,0,1662.5,-3294,-131025.223,-3294,131066.6224
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,22,-6,0,22583.68,32940,2814.357,0,7308.42,-3294,-125379.303,-3294,125422.566
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,23,-6,0,22583.68,32940,2814.357,0,-11291.84,-9215.3,-143979.563,-9215.3,144274.1706
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,24,-6,0,22583.68,32940,2814.357,0,11291.84,-5693.5,-121395.883,-5693.5,121529.323
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,25,-6,0,22583.68,32940,2814.357,0,-5574.62,-9882,-138262.343,-9882,138615.0404
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,26,-6,0,22583.68,32940,2814.357,0,1662.5,-9882,-131025.223,-9882,131397.3477
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,27,-6,0,22583.68,32940,2814.357,0,7308.42,-9882,-125379.303,-9882,125768.1341
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,28,-6,0,22583.68,32940,2814.357,0,11291.84,-11789.6,-121395.883,-11789.6,121967.0245
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,29,-6,0,22583.68,32940,2814.357,0,-7308.42,-16470,-139996.143,-16470,140961.6294
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,30,-6,0,22583.68,32940,2814.357,0,-1657.5,-16470,-134345.223,-16470,135351.0245
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,31,-6,0,22583.68,32940,2814.357,0,5574.62,-16470,-127113.103,-16470,128175.6679
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,1,-6,1,22583.68,32940,2814.357,0,0,-2313.7,-132687.723,30626.3,136176.3639
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-6,1,22583.68,32940,2814.357,0,11153.04,16470,-121534.683,49410,131194.616
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,4,-6,1,22583.68,32940,2814.357,0,10237.04,-16470,-122450.683,16470,123553.3515
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,5,-6,1,22583.68,32940,2814.357,0,-11153.04,-16470,-143840.763,16470,144780.6133
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,6,-6,1,22583.68,32940,2814.357,0,-5507.12,16470,-138194.843,49410,146762.266
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,7,-6,1,22583.68,32940,2814.357,0,1743.7,16470,-130944.023,49410,139956.0119
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-6,1,22583.68,32940,2814.357,0,7375.92,16470,-125311.803,49410,134701.1361
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,10,-6,1,22583.68,32940,2814.357,0,-5574.62,9882,-138262.343,42822,144741.8363
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,11,-6,1,22583.68,32940,2814.357,0,1662.5,9882,-131025.223,42822,137845.3218
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-6,1,22583.68,32940,2814.357,0,7308.42,9882,-125379.303,42822,132490.3517
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,13,-6,1,22583.68,32940,2814.357,0,-11291.84,5693.5,-143979.563,38633.5,149072.6732
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,14,-6,1,22583.68,32940,2814.357,0,11291.84,9215.3,-121395.883,42155.3,128506.9248
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,15,-6,1,22583.68,32940,2814.357,0,-5574.62,3294,-138262.343,36234,142931.376
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,16,-6,1,22583.68,32940,2814.357,0,1662.5,3294,-131025.223,36234,135943.0462
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,17,-6,1,22583.68,32940,2814.357,0,7308.42,3294,-125379.303,36234,130510.047
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,18,-6,1,22583.68,32940,2814.357,0,-11291.84,-2444.7,-143979.563,30495.3,147173.6318
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,19,-6,1,22583.68,32940,2814.357,0,11291.84,2811.7,-121395.883,35751.7,126550.956
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,20,-6,1,22583.68,32940,2814.357,0,-5574.62,-3294,-138262.343,29646,141404.9533
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,21,-6,1,22583.68,32940,2814.357,0,1662.5,-3294,-131025.223,29646,134337.2412
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,22,-6,1,22583.68,32940,2814.357,0,7308.42,-3294,-125379.303,29646,128836.5435
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,23,-6,1,22583.68,32940,2814.357,0,-11291.84,-9215.3,-143979.563,23724.7,145921.1292
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,24,-6,1,22583.68,32940,2814.357,0,11291.84,-5693.5,-121395.883,27246.5,124415.9643
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,25,-6,1,22583.68,32940,2814.357,0,-5574.62,-9882,-138262.343,23058,140171.8476
